timestamp_ns,delivery_count
1769808600000000000,4
1769809500000000000,4
1769984100000000000,2
1769985000000000000,2
1769985900000000000,2
1769986800000000000,2
1769987700000000000,2
1769988600000000000,2
1769989500000000000,2
1769990400000000000,2
1769991300000000000,2
1769992200000000000,2
1769993100000000000,2
1769994000000000000,2
1769994900000000000,2
1769995800000000000,2
1769996700000000000,2
1769997600000000000,2
1769998500000000000,2
1769999400000000000,2
1770000300000000000,2
1770001200000000000,2
1770002100000000000,2
1770003000000000000,2
1770003900000000000,2
1770004800000000000,2
1770005700000000000,2
1770006600000000000,2
1770007500000000000,2
1770008400000000000,2
1770009300000000000,2
1770010200000000000,2
1770011100000000000,2
1770012000000000000,2
1770012900000000000,2
1770013800000000000,2
1770014700000000000,2
1770015600000000000,2
1770016500000000000,2
1770017400000000000,2
1770018300000000000,2
1770019200000000000,2
1770020100000000000,2
1770021000000000000,2
1770021900000000000,2
1770022800000000000,2
1770023700000000000,2
1770024600000000000,2
1770025500000000000,2
1770026400000000000,2
1770027300000000000,2
1770028200000000000,2
1770029100000000000,2
1770030000000000000,2
1770030900000000000,2
1770031800000000000,2
1770032700000000000,2
1770033600000000000,2
1770034500000000000,2
1770035400000000000,2
1770036300000000000,2
1770037200000000000,2
1770038100000000000,2
1770039000000000000,2
1770039900000000000,2
1770040800000000000,2
1770041700000000000,2
1770042600000000000,2
1770043500000000000,2
1770044400000000000,2
1770045300000000000,2
1770046200000000000,2
1770047100000000000,2
1770048000000000000,2
1770048900000000000,2
1770049800000000000,2
1770050700000000000,2
1770051600000000000,2
1770052500000000000,2
1770053400000000000,2
1770054300000000000,2
1770055200000000000,2
1770056100000000000,2
1770057000000000000,2
1770057900000000000,2
1770058800000000000,2
1770059700000000000,2
1770060600000000000,2
1770061500000000000,2
1770062400000000000,2
1770063300000000000,2
1770064200000000000,2
1770065100000000000,2
1770066000000000000,2
1770066900000000000,2
1770067800000000000,2
1770068700000000000,2
1770070500000000000,2
1770071400000000000,2
1770072300000000000,2
1770073200000000000,2
1770074100000000000,2
1770075000000000000,2
1770075900000000000,2
1770076800000000000,2
1770077700000000000,2
1770078600000000000,2
1770079500000000000,2
1770080400000000000,2
1770081300000000000,2
1770082200000000000,2
1770083100000000000,2
1770084000000000000,2
1770084900000000000,2
1770085800000000000,2
1770086700000000000,2
1770087600000000000,2
1770088500000000000,2
1770089400000000000,2
1770090300000000000,2
1770091200000000000,2
1770092100000000000,2
1770093000000000000,2
1770093900000000000,2
1770094800000000000,2
1770095700000000000,2
1770096600000000000,2
1770097500000000000,2
1770098400000000000,2
1770099300000000000,2
1770100200000000000,2
1770101100000000000,2
1770102000000000000,2
1770102900000000000,2
1770103800000000000,2
1770104700000000000,2
1770105600000000000,2
1770106500000000000,2
1770107400000000000,2
1770108300000000000,2
1770109200000000000,2
1770110100000000000,2
1770111000000000000,2
1770111900000000000,2
1770112800000000000,2
1770113700000000000,2
1770114600000000000,2
1770115500000000000,2
1770116400000000000,2
1770117300000000000,2
1770118200000000000,2
1770119100000000000,2
1770120000000000000,2
1770120900000000000,2
1770121800000000000,2
1770122700000000000,2
1770123600000000000,2
1770124500000000000,2
1770125400000000000,2
1770126300000000000,2
1770127200000000000,2
1770128100000000000,2
1770129000000000000,2
1770129900000000000,2
1770130800000000000,2
1770131700000000000,2
1770132600000000000,2
1770133500000000000,2
1770134400000000000,2
1770135300000000000,2
1770136200000000000,2
1770137100000000000,2
1770138000000000000,2
1770138900000000000,2
1770139800000000000,2
1770140700000000000,2
1770141600000000000,2
1770142500000000000,2
1770143400000000000,2
1770144300000000000,2
1770145200000000000,2
1770146100000000000,2
1770147000000000000,2
1770147900000000000,2
1770148800000000000,2
1770149700000000000,2
1770150600000000000,2
1770151500000000000,2
1770152400000000000,2
1770153300000000000,2
1770154200000000000,2
1770155100000000000,2
1770156900000000000,2
1770157800000000000,2
1770158700000000000,2
1770159600000000000,2
1770160500000000000,2
1770161400000000000,2
1770162300000000000,2
1770163200000000000,2
1770164100000000000,2
1770165000000000000,2
1770165900000000000,2
1770166800000000000,2
1770167700000000000,2
1770168600000000000,2
1770169500000000000,2
1770170400000000000,2
1770171300000000000,2
1770172200000000000,2
1770173100000000000,2
1770174000000000000,2
1770174900000000000,2
1770175800000000000,2
1770176700000000000,2
1770177600000000000,2
1770178500000000000,2
1770179400000000000,2
1770180300000000000,2
1770181200000000000,2
1770182100000000000,2
1770183000000000000,2
1770183900000000000,2
1770184800000000000,2
1770185700000000000,2
1770186600000000000,2
1770187500000000000,2
1770188400000000000,2
1770189300000000000,2
1770190200000000000,2
1770191100000000000,2
1770192000000000000,2
1770192900000000000,2
1770193800000000000,2
1770194700000000000,2
1770195600000000000,2
1770196500000000000,2
1770197400000000000,2
1770198300000000000,2
1770199200000000000,2
1770200100000000000,2
1770201000000000000,2
1770201900000000000,2
1770202800000000000,2
1770203700000000000,2
1770204600000000000,2
1770205500000000000,2
1770206400000000000,2
1770207300000000000,2
1770208200000000000,2
1770209100000000000,2
1770210000000000000,2
1770210900000000000,2
1770211800000000000,2
1770212700000000000,2
1770213600000000000,2
1770214500000000000,2
1770215400000000000,2
1770216300000000000,2
1770217200000000000,2
1770218100000000000,2
1770219000000000000,2
1770219900000000000,2
1770220800000000000,2
1770221700000000000,2
1770222600000000000,2
1770223500000000000,2
1770224400000000000,2
1770225300000000000,2
1770226200000000000,2
1770227100000000000,2
1770228000000000000,2
1770228900000000000,2
1770229800000000000,2
1770230700000000000,2
1770231600000000000,2
1770232500000000000,2
1770233400000000000,2
1770234300000000000,2
1770235200000000000,2
1770236100000000000,2
1770237000000000000,2
1770237900000000000,2
1770238800000000000,2
1770239700000000000,2
1770240600000000000,2
1770241500000000000,2
1770243300000000000,2
1770244200000000000,2
1770245100000000000,2
1770246000000000000,2
1770246900000000000,2
1770247800000000000,2
1770248700000000000,2
1770249600000000000,2
1770250500000000000,2
1770251400000000000,2
1770252300000000000,2
1770253200000000000,2
