timestamp,bar_close_time,signal_type,action,reason,fast_sma,slow_sma
2025-08-20 13:30:00+00:00,2025-08-20 13:35:00+00:00,BUY,rejected,"stochastic_crossing_direction_mismatch (last crossing was BEARISH, need BULLISH)",1.166681,1.1644786296296294
2025-08-20 13:35:00+00:00,2025-08-20 13:40:00+00:00,BUY,rejected,"stochastic_crossing_direction_mismatch (last crossing was BEARISH, need BULLISH)",1.166649,1.1644766296296296
2025-08-21 00:35:00+00:00,2025-08-21 00:40:00+00:00,SELL,rejected,crossover_threshold_not_met (diff=0.03 pips < 0.35 pips threshold),1.1648200000000002,1.1648231111111116
2025-08-21 00:40:00+00:00,2025-08-21 00:45:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=0 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.1647589999999999,1.1648293333333337
2025-08-21 00:45:00+00:00,2025-08-21 00:50:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=0 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.164666,1.1648355185185189
2025-08-21 00:50:00+00:00,2025-08-21 00:55:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=0 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.1646159999999999,1.1648422222222226
2025-08-21 00:55:00+00:00,2025-08-21 01:00:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=0 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.164594,1.1648497407407408
2025-08-21 01:00:00+00:00,2025-08-21 01:05:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=3.26 <= +DI=22.44, bullish trend)",1.164577,1.1648576296296298
2025-08-21 01:05:00+00:00,2025-08-21 01:10:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=12.42 <= +DI=13.00, bullish trend)",1.164528,1.1648647407407409
2025-08-21 01:10:00+00:00,2025-08-21 01:15:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=8.66 <= +DI=10.23, bullish trend)",1.164524,1.1648720370370371
2025-08-21 01:15:00+00:00,2025-08-21 01:20:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=6.28 <= +DI=7.66, bullish trend)",1.1645059999999998,1.1648784074074074
2025-08-21 01:20:00+00:00,2025-08-21 01:25:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=4.19 <= +DI=8.16, bullish trend)",1.164499,1.164884888888889
2025-08-21 01:25:00+00:00,2025-08-21 01:30:00+00:00,SELL,rejected,stochastic_unfavorable,1.164492,1.1648922962962964
2025-08-21 01:30:00+00:00,2025-08-21 01:35:00+00:00,SELL,rejected,"stochastic_crossing_direction_mismatch (last crossing was BULLISH, need BEARISH)",1.164495,1.1648994074074077
2025-08-21 01:35:00+00:00,2025-08-21 01:40:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=8.02 <= +DI=24.15, bullish trend)",1.164564,1.164908703703704
